ticker,price,mkt_cap_m,short_pct,vol_ratio,squeeze_score,volume_score,vol_compress,options_score,technical_score,social_score,composite,n_flags
PATH,11.579999923706055,6192.401408,0.2746,1.6031109966472321,2,5,2,5,3,2,47.5,13
AI,8.90999984741211,1254.111744,0.3319,0.6373676215818745,3,2,0,5,2,4,40.0,11
GME,23.530000686645508,10541.663232,0.1604,1.1394862493092888,2,2,3,5,3,0,37.5,10
LUNR,17.600000381469727,2504.670464,0.22209999,0.9795004239963476,2,2,3,3,3,1,35.0,8
BBAI,3.940000057220459,1875.662976,0.2824,0.8823273420947293,2,1,4,5,2,0,35.0,8
NIO,5.860000133514404,14817.943552,0.0769,1.6736592101510408,1,5,0,4,4,0,35.0,9
NVAX,10.234999656677246,1667.649408,0.31370002,0.8137330128829245,4,3,0,3,4,0,35.0,9
RIVN,14.859999656677246,18441.107456,0.132,0.9979128315933233,2,2,3,3,3,0,32.5,9
SKLZ,3.25,49.743504,0.16790001,0.8474413582098508,4,1,3,3,2,0,32.5,8
TSLA,391.20001220703125,1467951.34976,0.0185,1.0542184828713577,0,1,4,3,2,3,32.5,10
ASTS,86.33999633789062,32984.246272,0.18360001,0.8100188032058943,1,2,3,2,2,3,32.5,9
NET,212.4499969482422,74778.2144,0.0299,0.8378777729563113,0,4,0,1,4,4,32.5,9
MARA,9.319999694824219,3543.786496,0.3858,0.9541994326790936,2,2,1,4,4,0,32.5,9
MRVL,87.86000061035156,76741.296128,0.044099998,1.1529221678299293,0,3,0,2,6,1,30.0,8
RKLB,68.40969848632812,38818.770944,0.0387,1.0413453316667844,0,3,4,3,2,0,30.0,7
RGTI,16.170000076293945,5370.874368,0.1354,0.8784276509949867,1,2,4,2,2,0,27.5,6
SAVA,1.9900000095367432,114.9728,0.1489,1.474812999434331,4,0,0,5,2,0,27.5,7
MRNA,52.560001373291016,20758.016,0.2157,0.7735534322955253,3,2,0,3,3,0,27.5,7
AMD,193.38999938964844,315305.1648,0.021300001,0.8330856359733777,0,0,3,2,3,3,27.5,8
LCID,9.899999618530273,3244.073984,0.42540002,1.0057981300528063,4,1,3,0,2,0,25.0,5
CLOV,1.9800000190734863,1038.84128,0.0921,0.8545790146582743,1,0,3,4,2,0,25.0,5
COIN,195.52999877929688,52726.14912,0.1201,0.7318786234587689,1,2,0,2,5,0,25.0,7
SMCI,30.75,18464.8192,0.1895,0.8414985354336809,1,0,3,4,2,0,25.0,6
U,19.43000030517578,8412.949504,0.0857,0.8056525171455763,0,2,0,1,2,5,25.0,8
NVDA,180.25,4380976.218112,0.0107,0.8536243214036926,0,1,0,3,2,4,25.0,8
PLTR,150.9499969482422,361023.438848,0.0238,0.8504747802942356,0,3,0,2,5,0,25.0,7
BILL,39.790000915527344,3985.234432,0.1498,0.9109390770683048,1,0,0,4,2,3,25.0,9
AMC,1.090000033378601,577.20672,0.2354,0.9651655924135302,2,0,2,5,1,0,25.0,6
CRWD,441.7799987792969,112041.631744,0.0287,0.5565366217769292,0,4,0,0,5,0,22.5,6
ATOS,5.010000228881836,43.14326,0.047399998,1.2017663399549243,1,4,0,1,3,0,22.5,6
BB,3.3399999141693115,1971.092608,0.0436,1.027605342227047,1,1,2,3,2,0,22.5,6
QUBT,7.300000190734863,1639.129344,0.2834,0.9359334209150169,3,1,4,0,1,0,22.5,6
CFLT,30.670000076293945,11018.764288,0.090900004,0.7700937716090744,0,0,6,0,3,0,22.5,5
GOOGL,302.2799987792969,3656681.259008,0.013099999,0.7833627632551199,0,0,4,1,3,1,22.5,6
SHOP,122.95999908447266,160473.088,0.0134000005,0.6202037498708279,0,3,0,2,3,0,20.0,5
RIOT,14.039999961853027,5322.927104,0.1341,0.908856395975277,1,0,2,2,3,0,20.0,5
JOBY,9.699999809265137,9499.541504,0.103,1.0950486231482972,1,1,3,1,2,0,20.0,5
SOUN,7.300000190734863,3086.543872,0.32959998,0.9534747306656034,3,1,0,3,1,0,20.0,6
PINS,18.18000030517578,12092.220416,0.0776,0.8325930919996967,0,4,0,1,3,0,20.0,5
BBBY,4.900000095367432,338.14528,0.0,1.0377260059581828,0,1,2,3,2,0,20.0,5
META,613.7100219726562,1552413.4912,0.0112,1.037186257259258,0,1,2,0,1,4,20.0,7
DKNG,25.8700008392334,12877.375488,0.066700004,0.7785930822919069,0,4,0,1,3,0,20.0,5
IONQ,32.97999954223633,12125.883392,0.2369,0.9103396553764718,2,1,1,2,2,0,20.0,5
HOOD,73.38999938964844,66073.632768,0.0387,0.8838487976162134,0,1,3,3,1,0,20.0,6
DDOG,124.5199966430664,44061.564928,0.033299997,0.7208864693164523,0,3,0,0,5,0,20.0,6
ON,58.54999923706055,23559.254016,0.1361,0.9598544955388701,1,0,0,0,2,4,17.5,6
CRM,192.8300018310547,180681.719808,0.024400001,1.042412251214828,0,2,0,3,2,0,17.5,4
AMZN,207.6699981689453,2229321.07264,0.0084,0.8259391943655399,0,3,0,2,2,0,17.5,4
SOFI,17.760000228881836,22648.686592,0.1019,0.9421497090576667,1,0,2,2,1,0,15.0,4
SNOW,178.66000366210938,61137.453056,0.0431,0.598574681819441,0,2,1,0,3,0,15.0,5
ROKU,91.6500015258789,13511.755776,0.0747,0.7209010100534471,0,2,0,0,4,0,15.0,4
NFLX,95.30999755859375,404294.467584,0.0214,0.700371812725832,0,2,0,0,4,0,15.0,4
HUBS,264.29998779296875,13939.32288,0.0685,0.8051920873564596,0,2,0,1,3,0,15.0,4
MSFT,395.54998779296875,2939877.064704,0.01,0.8307468927456996,0,1,0,1,1,2,12.5,6
UPST,26.360000610351562,2584.895488,0.3,1.022410594507469,3,1,0,0,1,0,12.5,4
ABNB,126.30000305175781,75718.61504,0.0367,0.6422074814939269,0,2,0,0,3,0,12.5,3
ARM,115.75,122926.333952,0.1065,0.8509423075816741,1,0,0,1,3,0,12.5,4
BNTX,91.19000244140625,22882.373632,0.0434,2.826024643709158,1,2,0,0,1,0,10.0,3
AFRM,46.880001068115234,15616.228352,0.061100002,0.8166752811035732,0,1,1,0,1,0,7.5,3
SNAP,4.559999942779541,7701.620736,0.0861,1.1633010700871291,0,0,0,3,0,0,7.5,2
AAPL,250.1199951171875,3676245.065728,0.0088,0.8341906660563286,0,0,0,1,1,0,5.0,2
ZS,153.75999450683594,24723.177472,0.0686,0.6866629323549057,0,1,0,0,1,0,5.0,2
RBLX,56.41999816894531,39985.19296,0.033299997,0.9954230152483237,0,0,0,0,1,0,2.5,1
